Name,Description,Category,Condition,Location,Quantity
Bible,NIV Hardcover,Books,New,Chapel Storage,50
Bible,NIV Hardcover,Books,New,Office Closet,20
Chalice,Silver Communion Cup,Utensils,Antique,Altar Display,4
Communion Cups,Silver-plated set (50 pieces),Utensils,New,Main Church,1
Folding Chairs,Steel frame with padded seats,Furniture,Used,Outreach Center,120
Hymnals,"""Songs of Faith"" hardcover edition",Books,Used,Main Church,75
Projector,Epson PowerLite 1795F 4000 lumens,Electronics,Used,Main Church,1
Sound System,Mixer + 6 speakers + wireless mics,Electronics,Good,Main Church,1
Chalice,"Antique silver communion cup, 1890s",Utensils,Antique,Main Church,1
Offering Plates,Brass collection plates (set of 6),Utensils,Used,Main Church,1
Pews,Oak pews (15 units),Furniture,Needs Repair,Main Church,15
Altar Linens,White embroidered linen set (10 pieces),Textiles,Good,Main Church,10
Easter Lilies,Potted plants for decoration,Plants,Seasonal,Outreach Center,0
First Aid Kit,Wall-mounted cabinet with supplies,Safety,New,Main Church,2
Fire Extinguisher,10lb ABC dry chemical,Safety,New,Main Church,4
"Banner, Advent",Purple fabric with gold cross,Decorations,Used,Outreach Center,1
Bible,KJV Leatherbound,Books,Good,Office Closet,67
Pew,Oak Bench,Furniture,Used,Chapel Storage,24
Hymnal,NIV Hardcover,Books,New,Youth Room,35
Offering Plate,Gold-Plated,Utensils,Good,Main Church,15
Projector,HDMI Enabled,Electronics,Fair,Office Closet,1
Cross,Wooden Wall Cross,Decor,New,Altar Display,5
Candlestick,Silver with Glass Holders,Decor,Antique,Chapel Storage,3
Altar Cloth,Embroidered White Linen,Linens,Used,Main Church,10
Communion Tray,Silver Communion Cup,Utensils,New,Outreach Center,20
